L [nm],IntensidadM1[counts]
420.1894904,0
420.6512726,0
421.113092,0
421.5749486,0
422.0368423,0
422.4987732,0
422.9607413,0
423.4227466,0
423.884789,0
424.3468686,0
424.8089853,0
425.2711392,0
425.7333302,0
426.1955584,0
426.6578238,0
427.1201263,0
427.5824659,0
428.0448426,0
428.5072565,0
428.9697075,0
429.4321957,0
429.8947209,0
430.3572833,0
430.8198828,0
431.2825194,0
431.7451931,0
432.2079039,0
432.6706518,0
433.1334369,0
433.596259,0
434.0591182,0
434.5220145,0
434.9849479,0
435.4479183,0
435.9109259,0
436.3739705,0
436.8370522,0
437.3001709,0
437.7633267,0
438.2265196,0
438.6897496,0
439.1530166,0
439.6163206,0
440.0796617,0
440.5430399,0
441.0064551,0
441.4699073,0
441.9333966,0
442.3969229,0
442.8604862,0
443.3240866,0
443.7877239,0
444.2513983,0
444.7151097,0
445.1788582,0
445.6426436,0
446.1064661,0
446.5703255,0
447.034222,0
447.4981554,0
447.9621258,0
448.4261333,0
448.8901777,0
449.3542591,0
449.8183774,0
450.2825328,0
450.7467251,0
451.2109544,0
451.6752207,0
452.1395239,0
452.6038641,0
453.0682413,0
453.5326554,0
453.9971064,0
454.4615944,0
454.9261193,0
455.3906812,0
455.85528,0
456.3199158,0
456.7845885,0
457.2492981,0
457.7140446,0
458.1788281,0
458.6436485,0
459.1085057,0
459.5733999,0
460.0383311,0
460.5032991,0
460.968304,0
461.4333458,0
461.8984245,0
462.3635401,0
462.8286926,0
463.2938819,0
463.7591082,0
464.2243713,0
464.6896713,0
465.1550082,0
465.6203819,0
466.0857926,0
466.55124,0
467.0167243,0
467.4822455,0
467.9478036,0
468.4133984,0
468.8790302,0
469.3446987,0
469.8104042,0
470.2761464,0
470.7419255,0
471.2077414,0
471.6735941,0
472.1394837,0
472.60541,0
473.0713732,0
473.5373732,6.826164843
474.00341,22.04243254
474.4694836,31.48535934
474.9355941,34.10793647
475.4017413,37.77924324
475.8679253,41.45039951
476.3341461,55.08208018
476.8004037,68.71320414
477.266698,70.28562515
477.7330292,71.33387382
478.1993971,75.00248297
478.6658019,83.38693843
479.1322434,83.38693843
479.5987216,102.7695112
480.0652366,118.4830437
480.5317884,124.7661744
480.998377,124.7661744
481.4650023,130.0019058
481.9316643,133.1429026
482.3983631,140.4711594
482.8650987,145.1819453
483.331871,146.2286712
483.79868,148.8454073
484.2655258,151.9853335
484.7324083,157.7412315
485.1993275,166.1125269
485.6662835,176.5745592
486.1332762,185.4661354
486.6003056,190.1726915
487.0673717,190.1726915
487.5344745,190.1726915
488.0016141,192.2643903
488.4687903,195.4016271
488.9360033,203.2440198
489.4032529,199.0617005
489.8705393,203.7668563
490.3378623,208.4719189
490.8052221,210.5628302
491.2726185,214.2217441
491.7400516,222.0611899
492.2075214,227.8098898
492.6750279,227.8098898
493.142571,227.8098898
493.6101508,232.5124443
494.0777673,238.7823318
494.5454204,240.3496649
495.0131102,248.1849444
495.4808367,249.752185
495.9485998,253.9310416
496.4163996,253.9310416
496.884236,256.0202239
497.352109,256.5424939
497.8200187,256.5424939
498.2879651,258.1092731
498.755948,258.1092731
499.2239676,254.4533116
499.6920239,247.6630027
500.1601167,241.9169054
500.6282462,241.9169054
501.0964123,241.9169054
501.564615,247.6630027
502.0328543,242.4393292
502.5011303,244.5289217
502.9694428,244.5289217
503.4377919,244.5289217
503.9061776,242.4393292
504.3746,240.8720887
504.8430589,240.8720887
505.3115544,238.7823318
505.7800865,238.7823318
506.2486552,231.4673189
506.7172604,231.4673189
507.1859022,231.4673189
507.6545806,231.4673189
508.1232956,218.9253186
508.5920471,218.9253186
509.0608352,218.9253186
509.5296599,218.9253186
509.9985211,218.4027405
510.4674189,225.1970609
510.9363532,224.1518943
511.405324,222.0614787
511.8743314,222.0614787
512.3433754,219.9710218
512.8124558,215.7896951
513.2815728,215.7896951
513.7507264,215.7896951
514.2199164,215.7896951
514.689143,211.0855632
515.1584061,215.7896951
515.6277057,219.9710218
516.0970419,215.7896951
516.5664145,215.2669828
517.0358237,210.5628509
517.5052693,210.5628509
517.9747515,215.2669828
518.4442701,215.2669828
518.9138252,215.2669828
519.3834169,215.2669828
519.853045,210.5628509
520.3227096,208.4718982
520.7924107,203.7669288
521.2621482,203.7669288
521.7319222,200.1073632
522.2017327,200.1073632
522.6715797,200.1073632
523.1414631,194.878635
523.611383,189.1268628
524.0813393,189.1268628
524.5513321,189.1268628
525.0213614,189.1268628
525.4914271,187.558042
525.9615292,187.558042
526.4316678,189.1268628
526.9018428,189.1268628
527.3720542,187.558042
527.8423021,186.5121303
528.3125864,186.5121303
528.7829072,185.4661978
529.2532643,183.3742496
529.7236579,178.6670384
530.1940878,178.6670384
530.6645542,176.5749237
531.135057,173.4364393
531.6055962,167.6820351
532.0761718,167.6820351
532.5467838,162.9736045
533.0174322,167.6820351
533.488117,162.9736045
533.9588382,161.4040024
534.4295957,161.4040024
534.9003897,161.4040024
535.37122,157.2180203
535.8420867,149.3685974
536.3129897,144.6585667
536.7839292,144.6585667
537.254905,144.6585667
537.7259171,138.9008239
538.1969656,133.6664599
538.6680505,133.6664599
539.1391717,133.6664599
539.6103293,133.6664599
540.0815232,133.6664599
540.5527534,133.6664599
541.02402,138.9008239
541.4953229,139.4242026
541.9666622,133.6664599
542.4380378,133.1429657
542.9094497,133.1429657
543.3808979,132.6194715
543.8523825,131.5724515
544.3239033,131.5724515
544.7954605,131.5724515
545.267054,131.5724515
545.7386838,130.5254316
546.2103499,126.8605302
546.6820523,119.530211
547.153791,107.4847515
547.6255659,107.4847515
548.0973772,107.4847515
548.5692248,107.4847515
549.0411086,93.34185809
549.5130287,82.86298975
549.9849851,76.574776
550.4569778,76.574776
550.9290067,70.28541179
551.4010719,63.99566353
551.8731733,62.42308236
552.3453111,62.42308236
552.817485,61.37464148
553.2896953,61.37464148
553.7619417,60.3262006
554.2342245,60.3262006
554.7065434,57.70491123
555.1788986,52.98639767
555.6512901,50.36484064
556.1237177,47.74306926
556.5961816,43.54802048
557.0686818,37.77917874
557.5412181,43.54802048
558.0137907,43.54802048
558.4863995,37.77917874
558.9590445,29.91160846
559.4317257,29.91160846
559.9044431,29.91160846
560.3771967,29.91160846
560.8499865,35.68139667
561.3228126,38.82819878
561.7956748,40.92598085
562.2685732,38.82819878
562.7415078,38.82819878
563.2144785,38.82819878
563.6874855,35.68139667
564.1605286,38.82819878
564.6336079,43.54796681
565.1067234,43.54796681
565.579875,43.54796681
566.0530628,47.74310143
566.5262868,49.31616426
566.9995469,47.74310143
567.4728432,43.54796681
567.9461756,47.74310143
568.4195442,47.74310143
568.8929489,43.54796681
569.3663897,47.74310143
569.8398667,52.98626913
570.3133798,52.98626913
570.7869291,36.72895437
571.2605145,36.72895437
571.734136,36.72895437
572.2077936,22.56761683
572.6814874,22.56761683
573.1552172,40.92340279
573.6289832,27.2889344
574.1027853,23.61687401
574.5766235,27.2889344
575.0504977,26.23972039
575.5244081,26.23972039
575.9983546,26.23972039
576.4723372,34.10777508
576.9463558,34.10777508
577.4204106,32.53435791
577.8945014,36.73035221
578.3686283,36.73035221
578.8427913,35.15693503
579.3169903,35.15693503
579.7912254,36.73035221
580.2654966,40.9259164
580.7398039,40.9259164
581.2141472,40.9259164
581.6885265,40.9259164
582.1629419,36.73035221
582.6373934,35.15693503
583.1118809,35.15693503
583.5864044,35.15693503
584.060964,35.15693503
584.5355596,35.15693503
585.0101913,35.15693503
585.4848589,35.15693503
585.9595626,33.58342105
586.4343024,35.15693503
586.9090781,33.58342105
587.3838899,30.96084392
587.8587376,30.96084392
588.3336214,29.91178078
588.8085412,29.91178078
589.283497,25.71509719
589.7584888,16.79631893
590.2335166,6.301585219
590.7085803,1.578614423
591.1836801,0.528946177
591.6588158,1.578614423
592.1339876,1.578614423
592.6091953,7.351253465
593.084439,20.99300252
593.5597186,14.17304105
594.0350343,7.351253465
594.5103859,7.351253465
594.9857734,2.62828267
595.4611969,7.351253465
595.9366564,7.351253465
596.4121519,7.351253465
596.8876832,11.02475098
597.3632506,12.59894468
597.8388538,12.59894468
598.314493,11.02475098
598.7901682,6.301780184
599.2658793,6.301780184
599.7416263,8.400986607
600.2174092,8.400986607
600.693228,8.400986607
601.1690828,4.727489093
601.6449735,8.400986607
602.1209001,4.727489093
602.5968626,2.103453969
603.0728611,0
603.5488954,2.103453969
604.0249656,2.103453969
604.5010717,0.52893533
604.9772138,0.52893533
605.4533917,0.52893533
605.9296055,0
606.4058552,0
606.8821407,0
607.3584622,0.52893533
607.8348195,3.153078851
608.3112126,5.777113975
608.7876417,12.07395385
609.2641066,11.02437231
609.7406074,18.89517892
610.217144,18.89517892
610.6937165,18.89517892
611.1703248,18.89517892
611.646969,18.89517892
612.1236491,18.89517892
612.6003649,18.89517892
613.0771166,18.89517892
613.5539042,16.79653501
614.0307276,16.79653501
614.5075868,14.17304105
614.9844818,14.17304105
615.4614126,18.37050174
615.9383793,18.37050174
616.4153818,14.17304105
616.8924201,5.776734827
617.3694942,0
617.8466041,0
618.3237498,0
618.8009313,0
619.2781486,0
619.7554017,0
620.2326905,0
